,acc1,acc2,acc3,acc4
998316,0;1;1,5;8;-10,-12;5;-1,-10;-3;3
998585,,,,
998588,-2;6;1,2;1;5,-6;-1;-1,-1;3;0
998855,,,,
998863,-4;1;1,0;1;-5,0;3;-9,-2;1;0
999135,,,,
999138,-7;5;4,-4;-4;6,2;0;6,-3;5;1
999409,,,,
999416,-4;1;3,-4;2;27,-16;5;16,-11;-7;-4
999681,,,,
999683,-2;-3;0,-3;-1;-1,-1;-6;1,0;-3;-3
999949,,,,
999952,-1;1;12,-6;0;2,-8;0;1,-4;-1;-2
1000224,,,,
1000227,-10;5;0,-8;2;1,-8;-4;0,-1;1;3
1000499,,,,
1000502,1;8;2,-8;8;4,-6;9;0,-5;3;-5
1000775,,,,
1000778,-7;-2;-1,-11;1;-7,-1;-3;-4,-8;1;3
1001046,,,,
1001049,-8;-3;8,-9;3;6,7;5;0,-4;0;-1
1001319,,,,
1001322,-4;13;5,-12;4;2,-14;4;-6,-3;2;-10
1001594,,,,
1001597,-8;0;-10,-9;8;-6,-8;7;0,-5;-1;0
1001869,,,,
1001872,0;10;-3,-4;6;-1,-12;7;4,-13;1;0
1002139,,,,
1002142,-13;5;1,-14;7;-2,-5;6;-7,-16;-1;-4
1002551,,,,
1002554,-19;-3;2,-3;4;1,-14;10;2,-8;12;6
1002820,,,,
1002823,-1;8;1,-8;7;19,-1;-2;-1,-3;-5;-8
1003095,,,,
1003098,0;0;-9,-9;-10;-8,-8;-1;-1,-2;0;4
1003359,,,,
1003362,-8;3;1,0;-6;-3,-10;4;5,-8;7;6
1003634,,,,
1003637,-9;6;2,-8;7;3,-5;6;-2,-2;-1;-3
1003904,,,,
1003907,-15;7;5,2;0;-8,-4;-8;-7,-15;-1;0
1004178,,,,
1004181,-13;0;3,-7;-1;-2,-9;-4;2,-18;4;10
1004453,,,,
1004455,-8;1;-4,-6;-2;-1,-5;6;-1,-2;-1;0
1004737,,,,
1004740,-14;11;4,-2;-2;-5,0;1;0,-5;10;0
1005004,,,,
1005006,-13;10;7,-9;5;6,-12;10;-1,-7;3;-8
1005280,,,,
1005283,-2;9;-8,-7;-10;-8,-6;-5;-6,-15;0;2
1005554,,,,
1005557,-12;2;-2,-13;-9;1,-14;-2;7,0;0;-5
1005838,,,,
1005841,-8;8;-11,-3;-9;-5,-1;0;-1,-6;0;1
1006117,,,,
1006126,-5;7;-3,-10;-4;2,4;0;-5,-8;4;8
1006399,,,,
1006402,-4;5;2,-6;-1;3,-9;4;-1,-3;-1;0
1006674,,,,
1006684,-4;-2;3,-11;-1;5,-8;8;0,-7;10;-2
1006956,,,,
1006959,-9;6;4,-7;6;-4,-7;14;-4,-6;1;3
1007230,,,,
1007239,-10;10;6,-8;5;3,-4;-7;1,-15;8;1
1007506,,,,
1007509,-9;-2;-4,-1;1;-5,-7;3;-4,-7;6;-9
1007781,,,,
1007791,-12;0;4,0;-4;3,-9;8;3,-5;11;-4
1008069,,,,
1008072,-5;6;2,-6;6;-4,-5;9;-9,-14;1;-1
1008338,,,,
1008348,-2;5;-7,-6;7;-11,-2;2;-8,-7;-1;0
1008619,,,,
1008622,-10;1;2,-3;8;6,-9;8;13,0;1;3
1008883,,,,
1008903,-4;6;-4,-3;11;-5,-12;4;-3,-14;1;0
1009170,,,,
1009173,-3;6;-6,-15;11;-2,-4;6;-5,-8;8;4
1009439,,,,
1009447,-10;7;-2,-1;-1;-6,-9;7;-4,-8;7;2
1009709,,,,
1009712,-1;8;-3,-12;6;4,2;-5;-1,-8;4;0
1009977,,,,
1009986,-10;0;-7,-4;1;5,-9;1;0,-6;-5;0
1010247,,,,
1010249,-7;-2;-5,-12;12;-7,-9;1;-4,-5;8;-14
1010522,,,,
1010530,-12;0;2,-5;7;-4,-3;-7;-10,-8;2;-10
1010798,,,,
1010800,-9;6;0,-2;8;-5,-2;5;-5,-4;2;-4
1011072,,,,
1011081,-6;4;-9,-10;-7;-6,-7;0;-5,-11;0;-4
1011348,,,,
1011351,-7;0;-3,-11;-2;-5,-5;8;-6,-3;-9;0
1011619,,,,
1011628,-3;-2;-10,-5;-3;-11,-4;0;-12,-7;-8;7
1011899,,,,
1011902,-7;-15;-6,-5;4;-3,-3;-6;4,-7;-6;1
1012173,,,,
1012183,0;-3;-7,-1;-16;-10,0;-11;-4,-4;-6;0
1012455,,,,
1012458,-6;-2;-11,-8;-4;-5,-3;-5;2,-8;-1;2
1012729,,,,
1012738,-6;-2;-10,-2;-4;-16,-6;-3;-4,0;-2;-2
1013014,,,,
1013016,-2;-8;-8,-10;-5;-9,-8;-2;-2,-1;0;-2
1013280,,,,
1013289,-6;-5;-5,-3;-12;-9,-9;-4;-9,2;-3;-4
1013568,,,,
1013571,-12;-8;-5,-3;-13;-3,-3;-2;-7,-1;-2;-9
1013837,,,,
1013846,-5;-4;-2,-12;5;-4,-11;2;-5,-7;3;-7
1014107,,,,
1014110,-1;-13;-7,-1;-11;0,-5;-4;2,-2;-3;0
1014376,,,,
1014384,-8;-5;-10,-15;-6;-1,-5;-9;-4,0;-9;-2
1014657,,,,
1014660,-7;-10;-6,-2;0;-3,-8;-6;0,0;0;-2
1014927,,,,
1014934,-8;-20;0,-1;0;3,-2;-3;1,-3;3;-14
1015195,,,,
1015198,-9;8;3,7;-5;-8,-3;9;18,-8;10;2
1015472,,,,
1015480,-2;-5;-2,0;-1;1,-1;-5;-5,-3;-3;-6
1015752,,,,
1015755,0;-4;-9,-8;-3;-2,4;-11;-6,0;1;1
1016026,,,,
1016033,-7;-8;-2,0;3;-7,-8;1;-5,-9;-10;-5
1016297,,,,
1016299,-3;-9;-8,-5;-8;1,-2;-1;0,2;0;-2
1016573,,,,
1016582,-5;-2;2,-6;-6;-1,-3;-10;-12,-7;-8;-5
1016852,,,,
1016855,-4;-3;-1,-10;-4;1,-9;-2;9,-9;-3;4
1017133,,,,
1017136,-4;-8;5,-7;3;0,-8;-4;1,-1;-2;-6
1017398,,,,
1017401,-7;-8;0,1;-8;0,5;-6;-9,-2;-11;-10
1017680,,,,
1017683,-4;-12;0,-3;-1;0,-3;9;3,-2;0;0
1017954,,,,
1017956,-1;6;2,-6;-4;3,1;-4;-6,0;0;1
1018366,,,,
1018370,-2;-1;1,-5;-3;0,-1;-17;2,-5;-6;4
1018636,,,,
1018638,-8;-8;8,-15;2;5,-14;-13;4,3;-5;-5
1018911,,,,
1018914,-4;-8;5,-1;-9;1,-6;-5;5,-2;4;-3
1019181,,,,
1019184,0;1;2,1;-11;-3,-4;-7;-1,-13;-8;8
1019460,,,,
1019463,-5;0;7,4;-12;5,-3;-10;1,-6;-10;-6
1019731,,,,
1019735,-8;3;6,0;0;2,-5;-2;6,-5;-15;0
1020012,,,,
1020015,-8;-2;-3,0;0;-10,0;-2;-5,-11;-5;-2
1020281,,,,
1020284,-5;-7;-7,0;-9;-11,-7;-14;-7,-7;-11;4
1020562,,,,
1020565,-4;-17;4,0;-5;-8,-5;-10;-5,-11;-5;0
1020839,,,,
1020843,0;-8;-6,-4;1;0,-1;-11;2,-10;-11;1
1021113,,,,
1021116,-7;-8;1,-5;-8;9,0;-1;10,-4;-9;2
1021384,,,,
1021387,11;5;0,-2;0;4,-3;2;3,0;-9;3
1021662,,,,
1021665,-7;0;8,5;-3;5,4;1;2,1;-9;0
1021933,,,,
1021936,-1;-1;-1,-13;-6;5,-2;-2;7,4;7;0
1022210,,,,
1022213,2;-7;-2,-7;-5;-3,5;-14;0,0;-2;0
1022477,,,,
1022480,-1;2;3,-10;-9;6,-1;2;2,0;4;-1
1022750,,,,
1022753,-2;-5;-3,3;-6;0,1;1;1,-6;-11;10
1023015,,,,
1023019,-4;-5;16,0;-3;2,-8;-1;-1,3;-3;-14
1023291,,,,
1023294,2;-9;0,1;1;5,0;1;4,2;-7;4
1023559,,,,
1023562,-7;1;14,-2;-9;10,-2;-14;2,0;-7;-3
1023839,,,,
1023842,1;6;-1,-6;-8;3,0;-9;0,1;4;-10
1024105,,,,
1024108,9;-7;-5,-2;-7;-1,-12;-5;4,-1;-6;3
1024379,,,,
1024381,0;-8;7,-2;-15;-4,0;-2;-1,-4;-7;4
1024649,,,,
1024651,2;5;-5,-4;3;0,0;-5;2,2;-8;0
1024922,,,,
1024925,-2;0;2,-5;-8;-1,-2;4;-5,1;-8;1
1025186,,,,
1025189,-1;2;0,1;-7;0,0;-10;6,0;0;6
1025473,,,,
1025476,-3;0;5,-7;-4;8,-3;-6;0,-8;-12;0
1025736,,,,
1025739,-8;-14;3,0;-6;-2,2;-16;2,0;2;-3
1026019,,,,
1026022,-7;2;5,-6;0;7,-2;8;7,1;15;7
1026300,,,,
1026304,-6;-6;2,-10;-5;-1,-12;2;3,-8;0;-4
1026581,,,,
1026584,-7;-1;-20,4;12;-18,-30;-4;1,2;-13;9
1026868,,,,
1026871,5;-12;-1,-7;6;0,-7;-2;11,4;7;10
1027142,,,,
1027145,-12;-6;0,0;-2;0,13;5;-15,4;10;-1
1027415,,,,
1027418,-6;1;0,0;-4;-4,2;2;6,-2;-11;2
1027693,,,,
1027696,5;-2;-4,2;9;3,-12;-2;2,0;1;7
1027958,,,,
1027961,-14;7;4,-13;-14;-3,-2;-8;-4,1;-13;3
1028232,,,,
1028235,-6;-6;0,-4;-1;-3,-4;7;0,-1;-6;-3
1028503,,,,
1028506,-10;0;3,-6;4;-2,-3;8;0,-10;3;-2
1028783,,,,
1028786,-5;1;1,-2;-10;1,2;-1;3,-5;-11;12
1029052,,,,
1029055,2;-24;0,0;-19;-4,-1;-3;6,-2;0;-1
1029332,,,,
1029336,-8;-5;0,-6;-6;-2,-2;-3;-10,-5;-8;-6
1029603,,,,
1029606,3;2;-5,-1;0;-14,0;0;-16,-19;1;0
1029878,,,,
1029881,-3;2;3,-14;2;-3,-4;-7;-13,-2;-8;-8
1030153,,,,
1030156,-6;-15;0,-5;-5;8,4;-12;-5,-8;-16;17
1030437,,,,
1030440,-4;-9;1,-2;1;-3,-2;3;1,-2;-1;1
1030704,,,,
1030707,1;-8;2,0;-9;6,-1;0;1,-2;0;0
1030979,,,,
1030982,-9;-7;2,-10;4;6,-8;-1;-8,8;-3;-3
1031255,,,,
1031258,-1;-9;12,-5;-14;0,-5;-10;0,-3;1;-8
1031539,,,,
1031542,-4;-2;-6,-5;0;-6,-1;-3;0,-5;-9;-1
1031805,,,,
1031808,-6;3;-14,0;-11;-6,-1;-15;7,0;-12;-2
1032080,,,,
1032083,2;-2;-6,-4;-12;1,1;-6;3,1;-4;-6
1032356,,,,
1032358,-9;-3;7,-4;-4;8,-13;-4;-9,0;-4;-4
1032632,,,,
1032635,-15;-1;4,0;-7;-10,0;-4;-8,-11;3;-4
1032900,,,,
1032903,-5;-1;1,-3;1;4,0;0;8,-7;0;4
1033184,,,,
1033187,-10;14;0,-8;-14;0,-7;-2;-5,0;5;-10
1033457,,,,
1033460,-7;-11;4,-8;-3;2,-10;2;3,-11;3;0
1033740,,,,
1033743,-3;5;9,-1;5;2,-2;18;-8,-15;2;-4
1034007,,,,
1034010,-5;-6;3,-7;-2;-3,-7;-2;-2,-4;0;2
1034284,,,,
1034287,-7;-4;3,0;-16;0,-12;-4;-1,-3;10;4
1034558,,,,
1034561,-6;7;-2,-1;6;-7,-14;5;-4,-6;-2;-7
1034845,,,,
1034848,-3;0;1,-9;5;6,-8;-1;0,-6;-2;-8
1035117,,,,
1035120,-8;0;7,-8;2;-7,-4;18;1,-17;4;-9
1035523,,,,
1035526,-13;-6;-10,-17;1;-28,-4;39;-9,-17;6;14
1035797,,,,
1035800,-3;2;-1,0;-7;-4,-3;0;0,-25;4;8
1036078,,,,
1036081,6;23;-7,3;2;-7,0;10;-6,-13;-6;4
1036347,,,,
1036350,8;12;-5,-6;-9;0,-4;12;-9,-1;6;-2
1036622,,,,
1036625,2;5;-17,-19;3;10,3;4;-2,-9;-3;6
1036898,,,,
1036901,-2;5;-4,-1;1;2,-5;6;-1,-11;4;10
1037179,,,,
1037182,0;6;-7,-6;4;0,-4;-1;-13,-3;27;-4
1037448,,,,
1037451,-8;8;6,-9;8;0,-7;4;10,-10;3;-3
1037874,,,,
1037877,-3;1;-24,-4;0;-3,4;8;-7,0;-3;-7
1038148,,,,
1038151,-15;15;-18,-7;9;12,11;-3;-3,-8;17;-11
1038418,,,,
1038422,-14;17;1,-12;0;-3,-12;-1;-5,-7;7;5
1038695,,,,
1038698,0;8;-1,-7;11;4,-5;10;-17,-3;0;-8
1038974,,,,
1038978,-19;14;-2,-7;-5;-16,-9;5;-5,-8;8;-11
1039250,,,,
1039253,0;4;-10,-4;3;-7,-5;4;-9,-6;-3;-10
1039525,,,,
1039528,-1;11;0,2;4;-12,-2;5;-17,-2;4;-3
1039795,,,,
1039798,1;-11;8,-16;5;14,-17;4;30,-5;14;16
1040070,,,,
1040073,1;2;-3,0;-2;0,3;4;-9,-2;-4;-15
1040338,,,,
1040342,-3;0;-1,4;19;-16,-5;9;4,-10;4;10
1040614,,,,
1040617,2;0;-1,5;-5;2,0;-17;9,-3;0;0
1040884,,,,
1040887,1;7;-7,0;4;2,4;-9;7,-3;-1;0
1041158,,,,
1041161,-7;12;-4,5;3;-4,-4;0;0,-5;5;-3
1041433,,,,
1041436,5;-3;-2,1;-11;0,-2;2;0,1;5;-4
1041709,,,,
1041712,0;-1;0,-10;0;10,-8;-2;8,4;2;-11
1041978,,,,
1041981,0;0;-5,-6;1;0,-6;2;-5,-7;-7;-2
1042252,,,,
1042255,-4;4;-6,5;5;-3,-5;2;-3,-8;7;-3
1042525,,,,
1042528,-6;4;4,-11;-11;2,-7;3;-12,-3;5;-4
1042803,,,,
1042806,-7;12;-5,-7;1;1,-2;3;3,-2;0;10
1043075,,,,
1043078,-5;-15;5,-1;3;5,-1;3;-1,0;-5;-2
1043350,,,,
1043352,-1;5;-7,-6;-4;2,1;4;5,-1;-3;2
1043616,,,,
1043619,0;-9;0,0;0;-8,-6;-9;-4,-8;-1;1
1043893,,,,
1043896,-3;0;-1,-2;2;1,-5;5;3,-7;0;5
1044168,,,,
1044171,-4;-9;-1,-9;0;-3,-1;-8;-6,-6;1;-6
1044444,,,,
1044447,-7;0;-9,-10;1;-2,-1;-10;0,-8;3;2
1044718,,,,
1044721,-5;7;-3,-5;-4;4,-2;-6;-6,-7;-1;-9
1044994,,,,
1044997,-3;3;-6,-8;-1;-2,-3;-1;5,6;6;-3
1045268,,,,
1045270,-18;0;4,-14;0;-3,-5;0;-2,-2;-9;-1
1045553,,,,
1045556,-12;-1;10,-7;4;-10,-6;12;-5,-4;-1;-5
1045820,,,,
1045822,-4;0;-2,-4;-3;6,-5;9;2,-8;6;5
1046105,,,,
1046108,4;-9;-1,-3;1;1,-3;0;-7,-11;-6;0
1046370,,,,
1046373,-2;1;-4,-5;-1;-1,-2;3;-2,0;-2;0
1046656,,,,
1046659,-5;10;4,0;12;2,-9;0;0,-9;6;-2
1046921,,,,
1046924,-17;0;-1,-6;1;-5,-6;-4;-2,-6;-1;-3
1047204,,,,
1047207,2;5;2,-6;3;5,-12;5;4,-13;19;-3
1047473,,,,
1047476,-7;-7;-1,-4;-4;-8,-2;1;-7,-2;-7;-4
1047754,,,,
1047757,-5;14;0,-6;5;-3,-21;-2;7,-10;15;1
1048023,,,,
1048026,0;-1;0,-11;-7;-1,-13;5;-4,-11;2;-8
1048309,,,,
1048312,0;0;-2,-11;1;-3,-10;2;0,-3;9;-5
1048585,,,,
1048587,0;-2;2,-6;-6;0,-12;5;9,-8;1;7
1048872,,,,
1048876,-1;-1;9,-14;4;11,-9;3;-1,-6;4;-12
1049144,,,,
1049147,-9;4;-10,-11;4;-4,0;0;-9,-12;-9;1
1049410,,,,
1049413,-2;-2;4,-9;-3;4,-10;0;11,-17;7;-9
1049686,,,,
1049689,-11;-9;-2,-7;5;-3,-10;0;-3,-10;0;9
1049968,,,,
1049971,-3;9;-7,-1;-7;-11,-13;0;11,-10;-5;-10
1050236,,,,
1050240,15;-9;-25,3;-8;4,-8;0;9,-17;-4;10
1050512,,,,
1050515,-2;0;11,-3;-2;7,-5;1;3,-1;0;-6
1050783,,,,
1050786,-9;-1;-5,-6;1;-14,2;0;-1,-4;-5;-3
1051057,,,,
1051059,-1;-3;0,1;-2;-2,-16;0;10,-19;8;8
1051324,,,,
1051327,-6;4;0,-3;3;-4,0;-6;-16,-3;-6;-6
1051599,,,,
1051602,-10;3;-3,-5;-1;-3,-10;2;9,-5;3;9
1051875,,,,
1051878,-8;2;10,-6;-1;5,-2;0;-2,2;-8;-10
1052150,,,,
1052153,-16;10;4,-14;3;-7,-6;-6;-12,-9;4;-1
1052426,,,,
1052429,-8;7;0,-17;3;1,-3;-8;1,-13;3;2
1052702,,,,
1052705,-12;-25;16,-5;-11;0,3;-2;-20,-9;9;-11
1052977,,,,
1052980,0;5;-5,-6;1;2,0;-9;-22,5;-4;-1
1053251,,,,
1053254,0;-14;-16,-17;3;5,-14;0;3,-7;4;6
1053522,,,,
1053526,-3;-3;-6,5;-1;-14,-5;9;-3,-11;-1;2
1053922,,,,
1053925,0;2;0,-11;1;3,-5;-2;0,-11;1;5
1054196,,,,
1054199,-2;-5;-1,-6;4;2,1;-3;0,-3;1;-6
1054472,,,,
1054475,-13;1;-2,-11;-5;0,-7;-3;-1,-8;0;-7
1054743,,,,
1054746,-9;1;0,1;-7;-6,-9;2;12,-13;0;7
1055015,,,,
1055019,-12;5;11,1;0;3,-13;1;3,2;-6;-10
1055297,,,,
1055300,-12;4;0,-4;-10;0,-4;3;6,-7;4;1
1055578,,,,
1055581,-6;-4;4,-9;3;14,-5;6;-2,-13;0;-5
1055854,,,,
1055857,-2;3;-12,-5;2;-6,-8;-4;-4,-15;8;1
1056136,,,,
1056139,-5;-12;-3,-11;-1;-2,-10;4;0,-7;9;-6
1056404,,,,
1056407,-9;1;-1,-8;15;-8,-4;-8;-9,-2;0;-4
1056679,,,,
1056681,-12;6;4,-15;4;15,-6;7;5,-8;9;-7
1056955,,,,
1056958,-9;-3;-8,0;6;-3,-3;10;0,-3;-5;0
1057238,,,,
1057240,0;0;0,-8;-1;15,0;-2;2,-11;9;1
1057515,,,,
1057518,-5;-1;3,-12;5;9,-9;0;5,-8;4;-5
1057793,,,,
1057796,3;3;-7,3;-2;-16,-5;-3;-12,2;4;-14
1058069,,,,
1058072,-8;-3;-8,-1;4;-6,-8;5;4,-8;3;12
1058350,,,,
1058353,-3;6;1,-1;4;0,-10;3;0,-9;6;4
1058619,,,,
1058622,-7;3;-3,-9;8;0,-5;1;-6,-4;1;0
1058902,,,,
1058905,-9;8;-9,-1;3;-1,-6;0;4,-8;1;12
1059176,,,,
1059179,2;-1;0,2;-2;7,-3;7;3,-12;-15;0
1059452,,,,
1059454,1;2;0,-11;-14;-8,-2;-1;-19,-7;14;-19
1059722,,,,
1059731,-2;4;11,-9;-4;-4,0;2;13,-8;-8;9
1059995,,,,
1059998,-9;-9;1,-3;16;-2,-1;-2;-9,-4;0;-2
1060271,,,,
1060279,-3;-1;0,-1;8;4,0;5;-4,-7;-4;17
1060546,,,,
1060549,-22;-2;8,1;-5;4,-6;12;0,-11;6;-1
1060822,,,,
1060831,-4;0;-1,-3;7;-7,0;7;1,-5;-4;3
1061097,,,,
1061100,-8;-9;6,-1;1;4,0;17;-5,-3;9;-2
1061371,,,,
1061380,-8;-2;1,-5;-1;-8,-9;6;4,-6;2;-1
1061645,,,,
1061648,-5;-15;-17,12;-2;-12,-17;-6;31,5;-4;32
1061917,,,,
1061925,-14;9;8,-8;6;-5,-5;1;6,-8;-11;-5
1062198,,,,
1062201,-1;0;-13,-7;-2;-4,-15;0;0,-8;8;-1
1062470,,,,
1062477,-1;12;11,-8;-3;2,-9;-3;-6,-4;-9;-6
1062746,,,,
1062749,-17;-8;0,0;4;-6,-6;-3;-3,-13;6;-2
1063013,,,,
1063021,-12;5;0,-4;-3;3,-12;8;1,-7;1;8
1063286,,,,
1063288,-1;-2;-8,-8;-5;0,-4;2;-9,-12;4;-2
1063564,,,,
1063572,-6;-19;0,-1;9;-2,-11;17;8,0;1;2
1063837,,,,
1063839,-13;16;-4,4;21;-11,-18;8;6,-10;17;17
1064112,,,,
1064121,3;-5;-4,-1;3;-10,-9;-14;3,-8;-1;0
1064401,,,,
1064404,0;-3;0,-5;4;-3,-6;7;9,-10;6;0
1064676,,,,
1064683,-6;-7;7,-4;5;2,-6;-1;-7,-13;5;-1
1064950,,,,
1064953,-13;1;-8,-11;-2;-5,-2;-5;-6,-9;-7;6
1065223,,,,
1065232,-6;2;0,-3;4;-1,2;-4;-1,-7;-1;5
1065502,,,,
1065504,-2;-10;4,-7;0;-5,-1;-3;-14,-4;-5;-25
1065773,,,,
1065781,-1;2;-9,-5;11;-2,4;4;-14,-5;-1;-3
1066052,,,,
1066054,-13;2;-2,-7;7;0,-2;0;-3,-15;-11;-12
1066322,,,,
1066332,-14;11;0,-14;1;23,-14;-16;11,-16;7;-7
1066596,,,,
1066599,0;3;-30,2;-8;-27,-9;4;-12,-3;14;-5
1066873,,,,
1066882,-21;-10;-10,1;17;0,-9;7;13,3;7;-1
1067153,,,,
1067156,-9;4;-9,-14;-4;7,-17;15;4,-20;22;13
1067424,,,,
1067433,-16;-14;8,-9;-17;-10,-2;14;-1,1;12;-4
1067697,,,,
1067700,-17;16;-8,-12;2;0,-3;-3;-4,0;-1;-14
1067966,,,,
1067973,-17;-1;7,-8;1;-6,-13;10;-5,-7;13;-8
1068234,,,,
1068237,-7;12;7,-8;9;-3,2;14;0,-3;0;-5
1068504,,,,
1068513,-4;7;9,0;7;-1,0;19;0,-11;-6;2
1068779,,,,
1068781,-2;4;-3,8;-2;-5,-3;9;5,-3;6;0
1069054,,,,
1069062,-20;-6;8,-13;-2;-1,-8;-1;1,-6;10;-6
1069332,,,,
1069335,-11;0;16,12;-17;12,-5;-9;-1,-12;14;1
1069598,,,,
1069607,9;14;-11,-14;-19;4,-6;-15;5,-7;-3;-12
1069875,,,,
1069878,-5;0;1,-7;3;-5,-12;12;3,-5;6;5
1070144,,,,
1070151,15;-15;-14,0;15;-13,9;2;-11,-3;0;0
1070418,,,,
1070422,-21;-1;23,-13;12;-11,0;-16;-16,19;7;-1
1070695,,,,
1070837,-14;-19;2,5;2;-24,0;0;-5,-5;-8;2
1071107,,,,
1071110,0;3;-4,-1;-10;-4,-9;3;4,-11;1;1
1071376,,,,
1071383,-4;-2;0,4;6;-15,-2;-7;-6,-1;0;5
1071644,,,,
1071647,-7;4;-11,-4;-3;-7,0;-9;-6,-9;4;16
1071920,,,,
1071923,-5;-5;-1,6;-13;-2,-8;15;1,-5;10;0
1072195,,,,
1072198,-12;-1;2,-11;8;-10,-3;13;2,-1;2;5
1072475,,,,
1072478,-12;15;17,-11;4;-4,-10;1;14,1;0;12
1072752,,,,
1072755,-4;17;5,-13;2;-7,-10;0;0,-7;-4;-11
1073123,,,,
1073126,-3;24;3,-14;3;0,-2;8;0,-27;-3;3
1073396,,,,
1073399,3;-11;-9,-1;-2;-18,-14;-12;-6,-20;-5;-4
1073677,,,,
1073680,0;-2;-7,-1;-5;0,-15;0;18,-13;13;-7
1073947,,,,
1073950,-2;18;-3,-10;1;-9,-17;-5;-12,-11;2;-8
1074222,,,,
1074225,-16;7;4,-4;10;-8,-14;8;-3,-20;12;-2
1074492,,,,
1074494,-1;-1;-13,-2;13;-8,-8;0;7,-10;-5;7
1074768,,,,
1074770,-5;-10;-7,-14;9;0,-5;0;-12,-11;2;-12
1075036,,,,
1075039,-11;-3;5,-10;-3;5,-11;-2;1,-2;-1;10
1075318,,,,
1075321,2;2;-4,6;1;-6,0;6;-9,-12;-1;-2
1075587,,,,
1075590,-5;1;6,-2;-1;-5,-12;12;2,-11;-8;7
1075859,,,,
1075862,-7;3;-10,-4;14;-2,3;4;-4,-7;-3;3
1076123,,,,
1076126,-2;8;8,-7;0;5,-7;2;-10,-16;13;-8
1076399,,,,
1076402,0;6;-15,-15;-3;1,1;0;-1,-8;6;-1
1076668,,,,
1076671,8;0;2,-13;2;10,11;16;-1,0;10;-17
1076942,,,,
1076944,3;11;-7,-8;12;3,0;-13;2,-17;13;8
1077213,,,,
1077216,-13;0;2,-9;-3;0,-12;1;-5,0;7;-7
1077488,,,,
1077491,-18;-6;0,-1;8;-14,-3;4;-5,-4;3;0
1077772,,,,
1077775,3;-2;-8,-12;10;-3,-12;0;-12,3;-5;-9
1078045,,,,
1078048,-8;2;-9,-11;6;6,-12;0;17,-11;0;22
1078313,,,,
1078317,-1;-9;5,-6;14;2,-8;-1;-3,-1;-8;-11
1078588,,,,
1078591,-5;-1;-7,-4;0;7,2;-11;-3,-20;1;0
1078851,,,,
1078854,-15;-1;0,-6;5;-6,-2;-2;-9,-5;0;0
1079128,,,,
1079131,-9;3;-3,0;-5;-9,-10;2;-6,-11;0;-3
1079397,,,,
1079400,-11;14;0,-10;4;-1,6;3;-6,-16;-3;9
1079673,,,,
1079676,-15;-5;3,-5;-4;-1,-7;-1;-12,-6;4;-2
1079942,,,,
1079944,-9;0;-12,-3;-6;-1,-6;-2;8,-1;-13;-1
1080215,,,,
1080218,-9;0;3,-10;3;4,-8;4;0,-15;0;1
1080492,,,,
1080495,-16;-2;0,-3;0;-3,-1;-1;-1,1;3;2
1080766,,,,
1080769,5;-5;-1,-12;-1;6,-15;6;-1,0;2;-4
1081041,,,,
1081044,-9;0;-7,-12;6;-9,-6;-9;-17,-6;0;-3
1081316,,,,
1081319,-13;-17;-2,-3;6;-4,-10;-2;0,-2;-3;2
1081591,,,,
1081594,-6;2;4,-5;2;0,-3;-4;-5,-11;0;0
1081867,,,,
1081870,-4;0;-4,-6;8;0,-13;9;0,-5;2;-1
1082137,,,,
1082140,-3;-5;2,-1;-1;2,-5;3;-2,-2;5;-4
1082414,,,,
1082416,-13;2;6,-17;8;0,-5;4;-3,-10;-6;-1
1082682,,,,
1082685,-10;6;2,-15;0;0,2;-10;-4,-8;7;6
1082969,,,,
1082972,-3;3;-6,-8;5;0,-7;3;-1,-3;0;2
1083237,,,,
1083240,-4;0;-7,-8;14;0,-7;5;0,0;4;0
1083513,,,,
1083516,1;-9;-7,-9;5;2,-1;-5;0,-6;2;-8
1083782,,,,
1083785,-9;-6;0,-12;-10;2,-9;6;2,-5;3;-21
1084057,,,,
1084060,-10;9;3,-2;1;-6,-14;14;-4,-3;7;-4
1084332,,,,
1084335,-12;-5;0,-7;11;-6,-8;4;1,3;12;-8
1084607,,,,
1084610,-3;-12;-7,-2;2;-11,-5;4;-5,-10;-2;4
1084891,,,,
1084894,-8;7;11,-7;7;12,-9;4;6,-8;0;4
1085172,,,,
1085175,0;-3;-2,-12;6;-4,-2;7;0,-9;-14;5
1085443,,,,
1085446,-10;11;9,0;-1;6,-10;0;7,-6;-4;-2
1085715,,,,
1085718,-15;-13;3,-7;-9;6,0;2;-5,-8;0;-10
1085993,,,,
1085996,0;8;-5,-7;-11;-5,-11;-1;-4,-10;-2;-3
1086266,,,,
1086269,-4;0;-10,-9;-4;-10,-6;0;0,-1;-5;2
1086534,,,,
1086537,-10;11;-2,5;1;1,-1;-5;1,-3;15;5
1086811,,,,
1086814,4;8;6,-2;14;5,0;4;7,8;-4;-2
1087078,,,,
1087081,1;1;6,1;-1;4,-2;5;10,-1;2;-2
1087363,,,,
1087366,6;-8;0,-7;1;-2,-2;6;-4,3;-1;-2
1087635,,,,
1087638,2;-1;-3,-9;17;-4,-3;1;2,0;5;0
1087910,,,,
1087913,-2;0;5,-14;6;15,-5;32;23,-10;0;0
1088182,,,,
1088185,5;-9;0,6;7;6,-10;-2;7,-15;16;3
1088455,,,,
1088458,-12;11;24,-50;-3;-8,1;-7;-7,-7;-6;-8
1088723,,,,
