,acc1,acc2,acc3,acc4
152611,-4;-1;0,-3;-1;-3,-3;-4;-1,-4;-5;-3
152884,,,,
152886,-3;-3;0,-6;-3;-2,-10;-2;-1,-5;-3;-2
153158,,,,
153161,-4;-12;-4,-7;-12;-6,-5;-5;-5,-9;-7;-6
153434,,,,
153436,-2;-7;3,3;-13;7,3;-21;10,1;-17;2
153697,,,,
153699,0;-22;0,-1;-17;2,-5;-18;0,2;-13;-5
153972,,,,
153975,-1;-13;0,-3;-18;-3,-6;-20;0,-2;-15;0
154244,,,,
154247,-4;-23;-3,-1;-21;0,-3;-11;6,-5;-17;-3
154518,,,,
154521,-6;-25;-2,-5;-27;-2,-1;-24;-5,-1;-20;2
154785,,,,
154788,-6;-24;2,-8;-14;0,-8;-19;-2,-9;-21;0
155066,,,,
155069,-15;-20;0,-9;-19;-3,-12;-18;-2,-10;-18;-6
155335,,,,
155338,-8;-21;-4,-14;-13;-5,-12;-17;-4,-14;-14;-4
155609,,,,
155612,-16;-9;-4,-19;-8;-1,-21;-8;-3,-16;-11;-3
155874,,,,
155876,-11;-12;-1,-13;-11;-6,-14;-14;0,-16;-12;-5
156151,,,,
156153,-12;-8;-4,-12;-11;-4,-15;-6;-3,-15;-7;-4
156425,,,,
156427,-13;-6;-6,-15;-4;-1,-13;-3;-4,-12;-5;-2
156699,,,,
156701,-14;-2;0,-18;-2;-3,-15;-4;-8,-20;-4;-1
156964,,,,
156967,-23;0;-5,-15;-1;-3,-16;-1;-2,-14;0;-1
157233,,,,
157241,-23;-1;-2,-15;-2;-3,-14;0;-2,-20;0;-1
157513,,,,
157516,-15;-4;-2,-12;-6;-11,-15;-2;-7,-16;-1;-2
157789,,,,
157796,-18;0;-2,-13;-1;-3,-21;-2;-3,-17;0;0
158070,,,,
158073,-18;0;-2,-21;1;-1,-14;0;-4,-15;-3;0
158339,,,,
158347,-15;0;-5,-17;-1;-4,-18;1;-2,-18;3;-8
158614,,,,
158617,-19;2;-4,-15;1;-4,-16;-1;-5,-17;-1;-6
158889,,,,
158897,-18;-4;0,-16;-2;-4,-17;0;-3,-14;-5;-7
159173,,,,
159176,-21;-5;2,-18;3;-1,-18;0;-4,-16;-3;-2
159439,,,,
159449,-20;-1;-3,-16;0;-2,-17;-4;0,-20;-2;0
159715,,,,
159718,-20;0;0,-16;2;-2,-10;2;-6,-15;-2;-3
159992,,,,
159995,-11;1;-2,-11;4;-5,-9;3;-4,-14;0;0
160273,,,,
160276,-8;2;0,-8;6;0,-6;8;0,-12;1;-2
160543,,,,
160546,-13;0;-3,-13;3;-3,-14;5;-4,-13;5;-1
160816,,,,
160819,-14;6;-2,-13;3;-5,-17;0;-5,-14;12;-12
161091,,,,
161094,-15;-2;-5,-19;1;-6,-15;-8;-1,-21;5;-2
161368,,,,
161370,-18;1;-2,-17;5;-1,-12;0;-10,-19;-1;0
161643,,,,
161646,-13;7;0,-22;-1;-6,-19;0;-2,-21;-2;-6
161917,,,,
161920,-21;5;-2,-19;1;-5,-23;-2;2,-17;-3;-3
162192,,,,
162195,-29;-2;-5,-13;9;3,-16;6;0,-21;9;0
162468,,,,
162471,-23;0;-3,-16;-1;-5,-17;3;-4,-13;1;-4
162737,,,,
162740,-24;-2;-1,-14;3;-4,-21;-4;0,-18;1;-3
163020,,,,
163022,-17;2;-7,-20;-5;-2,-17;-4;-3,-25;-1;0
163294,,,,
163297,-15;-3;-5,-17;0;-5,-17;2;0,-20;1;2
163573,,,,
163576,-28;5;0,-14;1;-5,-11;15;-2,-22;0;-8
163838,,,,
163841,-15;0;0,-11;2;-13,-21;5;-9,-17;15;-6
164107,,,,
164116,-22;6;-9,-23;2;-10,-15;4;-8,-16;0;-11
164384,,,,
164387,-15;-6;-17,-22;0;0,-17;-1;0,-12;3;-3
164653,,,,
164661,-19;4;-5,-17;4;1,-23;0;0,-12;2;1
164933,,,,
164936,-14;3;-7,-18;3;3,-18;7;2,-16;6;-8
165204,,,,
165213,-14;2;-7,-16;2;-3,-15;6;-9,-13;-1;-1
165477,,,,
165480,-5;4;-2,-7;-4;-5,-16;1;0,-9;4;-4
165754,,,,
165762,-7;2;-5,-5;4;0,-4;5;-1,-3;0;-5
166034,,,,
166037,-3;1;1,-13;3;-1,-3;-2;-5,-1;3;-2
166309,,,,
166311,-5;0;1,-1;0;5,-2;-1;-4,0;1;-2
166584,,,,
166587,-2;5;0,-2;6;1,-2;0;-2,2;-3;-5
166859,,,,
166861,0;-5;4,-1;0;1,-2;4;0,-4;1;-1
167147,,,,
167150,0;0;0,-2;1;-4,-4;4;-3,-1;6;3
167416,,,,
167418,1;1;-6,-1;3;-2,0;-3;-5,1;1;-4
167698,,,,
167701,0;0;0,2;-3;0,4;0;-2,5;0;0
167972,,,,
167975,3;-3;-1,7;-4;3,4;2;1,6;3;0
168252,,,,
168255,17;3;-1,9;6;1,9;4;0,10;0;-3
168524,,,,
168526,9;0;6,12;2;-1,12;-2;2,10;0;3
168799,,,,
168826,13;4;-5,12;3;-2,7;0;2,12;2;2
169099,,,,
169102,10;3;1,29;-1;-6,9;0;-3,12;0;4
169374,,,,
169381,14;4;0,19;2;7,11;2;-2,17;4;2
169650,,,,
169653,17;6;0,14;5;4,12;6;5,16;5;6
169919,,,,
169927,13;0;0,9;7;2,8;1;4,13;2;0
170193,,,,
170196,13;10;2,7;5;2,13;4;0,10;1;0
170469,,,,
170472,9;3;-3,7;6;1,10;7;10,10;2;1
170752,,,,
170755,13;1;0,4;1;2,16;1;-4,9;1;3
171022,,,,
171025,13;0;2,9;4;6,8;0;0,9;1;5
171338,,,,
171341,10;2;0,7;1;-1,8;1;-2,0;2;2
171615,,,,
171618,-1;2;0,-4;1;4,-3;3;1,-5;1;-3
171894,,,,
171897,-4;6;-4,-8;3;1,-3;1;-1,-11;1;-4
172165,,,,
172168,-10;1;-9,-12;2;-1,-11;1;6,-11;6;7
172435,,,,
172443,-17;4;-2,-18;1;-7,-15;2;-8,-19;3;-6
172715,,,,
172718,-21;0;-8,-19;-2;-2,-18;-5;0,-15;-2;-14
172985,,,,
172992,-24;11;-1,-22;4;-11,-22;0;-10,-24;4;-4
173252,,,,
173255,-22;-3;-5,-23;0;3,-17;9;-12,-19;6;-1
173529,,,,
173538,-20;4;2,-11;0;-19,-21;-4;-3,-16;5;-11
173813,,,,
173816,-15;6;-13,-18;3;12,-18;10;0,-20;4;-5
174078,,,,
174086,-17;-6;-13,-11;-17;-34,-11;-21;-16,-23;3;6
174354,,,,
174356,-27;8;0,-24;0;10,-8;-10;5,-24;0;7
174630,,,,
174640,-23;5;7,-16;0;-5,-15;-9;-18,-17;-10;-6
174914,,,,
174916,-14;3;0,-19;3;0,-16;3;2,-15;-1;-4
175182,,,,
175185,-12;0;1,-11;-8;-4,-8;-3;-1,-15;-6;-4
175456,,,,
175459,-18;-2;-2,-13;0;-1,-18;0;-3,-18;1;-5
175730,,,,
175733,-13;-10;-3,-17;-8;0,-22;-4;4,-20;-1;0
176019,,,,
176021,-18;-1;-5,-16;-2;-7,-20;-2;-4,-25;0;-5
176293,,,,
176296,-22;0;-2,-18;-3;-4,-21;-5;-3,-11;-6;-3
176569,,,,
176572,-20;-1;0,-19;-8;-2,-15;-8;-1,-16;-5;-2
176851,,,,
176855,-18;-11;-8,-19;-11;-6,-17;-2;-1,-19;-5;-2
177126,,,,
177128,-18;-6;-1,-17;-6;-3,-17;-3;-6,-17;-12;-3
177394,,,,
177397,-20;-11;-4,-22;-14;0,-14;-5;-3,-21;-6;-2
177677,,,,
177679,-17;-11;-8,-17;-7;-9,-14;-5;-5,-17;-5;0
177945,,,,
177948,-26;-5;0,-24;-5;-4,-19;-6;-6,-22;-4;-4
178228,,,,
178231,-15;0;-6,-21;-1;-1,-21;-6;-10,-18;-4;-7
178496,,,,
178498,-13;-5;-8,-13;-5;-5,-11;-12;-9,-13;-2;-1
178778,,,,
178781,-12;-5;-5,-14;-7;0,-13;-9;-1,-8;0;-3
179047,,,,
179049,-13;-4;-2,-14;-4;-4,-14;-3;-7,-14;0;-5
179321,,,,
179324,-12;-1;-9,-10;-6;-5,-17;-11;-2,-22;-2;-3
179595,,,,
179598,-21;0;-3,-14;0;-1,-19;-2;-4,-19;-2;0
179868,,,,
179871,-19;0;-2,-20;0;-2,-19;-3;-2,-16;1;-7
180135,,,,
180139,-10;1;-7,-19;3;-4,-17;-1;-4,-19;-1;-2
180417,,,,
180420,-18;5;0,-16;3;-3,-18;-3;-3,-17;-2;-1
180685,,,,
180688,-19;4;-2,-20;-3;-3,-22;4;-8,-20;5;-3
180955,,,,
180962,-12;1;-7,-18;-3;-1,-15;6;-5,-19;-5;-3
181223,,,,
181226,-17;1;-8,-17;-6;-2,-14;-5;-6,-18;-1;-4
181493,,,,
181502,-14;6;-6,-18;-4;-8,-12;-9;-6,-17;-5;-1
181775,,,,
181777,-21;2;-2,-18;3;-1,-10;-7;-10,-20;-2;-7
182050,,,,
182057,-22;1;1,-21;4;-6,-29;0;0,-24;2;1
182333,,,,
182336,-16;-2;-6,-23;0;0,-15;-2;-1,-22;5;0
182601,,,,
182610,-19;-2;-5,-15;2;-8,-20;0;-12,-12;10;-11
182875,,,,
182878,-16;5;-1,-16;-1;-3,-27;-1;1,-27;0;-6
183150,,,,
183158,-24;1;-4,-22;4;-8,-21;1;-9,-13;0;-11
183439,,,,
183441,-21;2;-5,-13;2;-8,-14;0;-2,-11;5;-3
183713,,,,
183716,-18;1;3,-13;0;0,-7;5;-8,-15;3;-6
183989,,,,
183991,-5;-2;-5,-8;3;-2,-4;0;-12,-11;0;-6
184257,,,,
184260,-15;0;-2,-7;3;-7,-11;-4;1,-11;-2;-4
184542,,,,
184544,-11;-3;-7,-16;-2;-4,-9;-13;-2,-12;-7;-2
184814,,,,
184817,-11;-5;-3,-10;-7;-9,-11;-5;-4,-13;-12;4
185091,,,,
185094,-16;-12;1,-20;-1;1,-15;-2;-4,-13;-2;-1
185365,,,,
185368,-11;0;1,-6;3;-5,-14;-4;-5,-14;-8;-7
185641,,,,
185645,-13;-8;1,-14;-6;-3,-15;0;-10,-14;3;-4
185916,,,,
185919,-9;1;-10,-10;3;-8,-13;0;-7,-11;-2;-14
186198,,,,
186200,-10;-3;-8,-13;1;0,-16;-1;10,-17;4;5
186466,,,,
186469,-19;-6;11,-19;11;5,-17;7;-5,-10;2;-7
186740,,,,
186742,-13;3;0,-16;-3;0,-13;-5;-1,-9;6;-6
187013,,,,
187015,-17;0;-5,-10;0;-6,-9;-3;-8,-15;-2;0
187288,,,,
187291,-8;-3;-4,-18;-2;-2,-12;1;-8,-12;0;-3
187554,,,,
187557,-11;0;-8,-13;8;-3,-17;-5;0,-13;0;3
187830,,,,
187856,-14;3;-6,-11;-4;-1,-14;-5;-8,-12;7;5
188130,,,,
188133,-4;0;-4,-7;-5;-3,-14;-3;1,-14;-3;4
188402,,,,
188410,-2;0;-6,-8;-8;-7,-13;4;1,-8;-9;0
188681,,,,
188684,-2;4;7,-3;-5;0,-10;0;14,-9;0;4
188956,,,,
188963,-7;-6;-13,-10;-3;-11,0;-1;-5,-13;-3;-9
189231,,,,
189234,-8;-2;-4,-10;8;5,-5;4;-2,-1;0;-3
189505,,,,
189508,-8;-8;0,-9;-3;3,-12;0;0,-12;8;-7
189788,,,,
189791,-11;0;-2,-9;-9;-9,-13;-4;0,-13;0;-5
190057,,,,
190060,-15;-12;-10,-15;13;9,-10;-11;7,-15;-1;2
190333,,,,
190336,-17;6;2,-10;6;6,-19;4;5,-11;1;0
190607,,,,
190610,-12;-1;-3,-6;-4;-2,-6;-6;-5,-9;-3;-1
190883,,,,
190885,-7;0;-8,-2;0;-11,0;4;-7,-1;3;1
191154,,,,
191157,-9;2;-1,-12;-3;-6,-8;4;3,-8;0;1
191427,,,,
191430,-8;-1;8,-4;-3;0,0;-3;3,0;1;4
191696,,,,
191698,-1;3;2,-3;0;-1,0;-4;-2,-2;2;1
191978,,,,
191980,1;13;-8,0;-1;-5,-4;4;-4,0;4;-2
192256,,,,
192259,-6;-3;2,1;0;1,-3;4;0,0;-3;2
192522,,,,
192529,-2;-1;0,2;1;-4,0;3;-4,-1;1;-5
192797,,,,
192800,8;7;-3,0;-2;0,4;-7;0,2;11;0
193072,,,,
193081,-6;3;4,0;4;2,-6;10;3,-2;7;2
193348,,,,
193351,1;0;1,4;2;3,5;5;0,8;-11;3
193616,,,,
193624,8;5;-2,5;-7;4,-2;-1;4,-12;8;1
193886,,,,
193889,0;4;-3,0;-4;3,3;-4;3,0;6;4
194157,,,,
194160,0;5;0,-1;-1;1,-2;-1;0,0;12;1
194433,,,,
194436,1;0;0,-4;5;3,-4;7;8,-1;12;-3
194701,,,,
194704,2;3;0,0;12;-4,0;2;-6,3;2;-1
194974,,,,
194976,-1;1;0,0;5;-9,0;9;-5,-1;6;-2
195243,,,,
195246,-3;6;1,1;0;0,0;2;0,4;0;-1
195519,,,,
195521,6;0;6,7;6;6,10;1;1,7;3;0
195793,,,,
195796,15;2;0,10;10;0,1;7;5,7;1;5
196070,,,,
196077,4;-2;-11,7;2;-4,2;-1;-1,5;5;-1
196341,,,,
196343,3;4;-1,4;6;-10,7;1;-4,4;4;0
196613,,,,
196622,10;2;-6,5;9;-4,0;12;-4,1;8;3
196895,,,,
196897,4;7;3,3;7;-1,3;7;-1,4;6;-3
197171,,,,
197178,-4;11;2,0;8;4,-3;7;0,5;3;5
197441,,,,
197443,0;10;-3,0;7;4,1;12;-3,2;12;-5
197712,,,,
197715,-1;11;-2,1;14;2,0;13;-1,0;11;-1
197990,,,,
197993,-1;12;-3,4;7;4,1;12;5,-2;15;-1
198264,,,,
198267,-1;17;-2,-2;15;-7,-6;17;-6,-3;10;-9
198546,,,,
198549,-1;18;-7,-2;40;5,0;19;-5,1;18;-11
198815,,,,
198818,-3;19;4,3;19;-6,0;21;-19,1;20;4
199097,,,,
199100,0;32;3,-3;28;0,2;27;-1,7;16;1
199366,,,,
199368,5;12;-7,2;25;0,4;21;-6,2;25;-2
199641,,,,
199644,1;32;2,5;27;0,7;26;-2,4;28;-7
199913,,,,
199916,3;29;8,3;30;7,3;39;5,9;27;0
200181,,,,
200190,1;25;-3,5;28;-5,3;23;-1,1;25;-3
200455,,,,
200458,2;31;-1,0;25;-2,5;20;3,5;23;0
200731,,,,
200738,0;21;0,3;19;-2,0;21;0,-3;15;-2
201005,,,,
201008,-5;12;0,-7;10;-3,0;16;-3,-3;5;0
201274,,,,
201282,-3;2;1,-7;12;6,-8;13;-5,-3;6;0
201543,,,,
201545,-8;9;-4,-10;3;-3,-6;2;1,-5;10;-1
201821,,,,
201828,-7;5;-3,-8;6;-2,-6;3;-2,-9;4;-2
202093,,,,
202096,-7;22;-3,-11;21;4,-9;21;3,-11;3;1
202370,,,,
202373,-6;-1;0,-7;-1;-1,-4;-4;5,-11;0;9
202645,,,,
202647,-6;5;1,-8;-1;0,-7;-3;1,-7;0;-2
202920,,,,
202924,-5;-1;0,-6;1;0,-4;1;0,-5;0;-6
203206,,,,
203209,-6;0;0,-8;2;-4,-5;-4;-3,-6;-6;0
203483,,,,
203486,-5;0;-1,-1;-6;-6,-1;0;0,-4;0;0
203770,,,,
203773,-5;0;-3,-3;1;-3,-4;7;2,0;3;0
204042,,,,
204045,-3;-4;0,-2;-3;1,0;-6;-1,-5;0;7
204315,,,,
204318,0;-6;-3,-1;-11;2,3;-8;0,2;-8;-1
204591,,,,
204594,0;-4;0,-2;-6;2,1;-5;-2,-1;-8;4
204862,,,,
204871,0;-1;0,0;-2;-1,-2;-6;0,1;-6;-2
205134,,,,
205137,0;-7;-2,0;-8;3,5;-11;4,-1;-16;-1
205411,,,,
205418,1;-10;2,2;-14;1,0;-17;-2,2;-8;6
205684,,,,
205687,3;-14;6,-1;-15;-1,0;-11;1,1;-7;2
205964,,,,
206046,-2;-12;0,-1;-12;1,-3;-15;0,-1;-13;0
206313,,,,
206315,-3;-16;4,5;-13;-6,-4;-10;2,-3;-9;-1
206582,,,,
206589,1;-11;0,-3;-20;-9,0;-17;-10,-3;-15;2
206856,,,,
206859,0;-9;-2,0;-17;-7,-2;-16;-2,-9;-11;0
207131,,,,
207134,2;-15;-2,-3;-18;-4,0;-9;-4,-1;-7;1
207406,,,,
207409,1;-10;1,0;-17;0,2;-21;-6,1;-21;-5
207674,,,,
207676,-2;-11;-9,-1;-19;-5,-3;-18;4,0;-17;-9
207949,,,,
207952,-5;-18;-8,-2;-11;-3,0;-10;-4,3;-19;-4
208222,,,,
208224,6;-26;8,-7;-25;1,1;-15;-2,0;-17;0
208557,,,,
208560,2;-20;5,-5;-10;8,1;-18;-10,0;-10;-8
208839,,,,
208842,2;-15;3,0;-14;2,0;-3;0,-2;-17;-6
209123,,,,
209125,-3;-25;1,-2;-11;1,-2;-16;-5,-4;-24;0
209388,,,,
209391,-1;-16;-4,-4;-12;-3,-3;-20;-4,-3;-10;-4
209664,,,,
209666,-2;-15;0,-1;-7;4,-2;-5;5,-3;-11;-1
209940,,,,
209942,-1;-5;6,-3;-14;-6,2;-3;4,-3;-10;5
210214,,,,
210217,1;-13;3,-4;-8;3,3;0;-4,-1;-12;8
210489,,,,
210492,6;-2;-16,0;-15;-3,2;0;2,7;-1;3
210763,,,,
210771,4;-11;6,5;-11;13,1;0;1,1;-13;1
211046,,,,
211049,-2;-3;4,6;0;0,8;-4;3,15;-5;-11
211315,,,,
211322,13;-4;-3,1;-1;4,9;-4;9,16;-10;2
211591,,,,
211593,9;-11;7,10;0;0,5;-7;-5,9;1;9
211862,,,,
211871,12;8;-2,13;-2;-3,8;-4;0,4;-2;-2
212134,,,,
212137,8;0;0,12;-7;5,15;1;-13,14;7;-21
212404,,,,
212406,7;-2;26,18;17;23,24;-1;28,29;-5;32
212680,,,,
212683,9;5;17,15;-7;-13,12;-15;-3,14;1;7
212955,,,,
212957,14;0;11,15;1;4,10;0;7,15;-1;11
213230,,,,
213233,12;0;7,8;2;8,8;0;14,8;-2;16
213501,,,,
213504,13;10;-3,10;5;3,4;3;3,13;6;0
213774,,,,
213777,10;16;4,8;2;6,9;2;5,7;4;4
214049,,,,
214052,4;2;10,4;6;-6,4;7;-2,13;14;-3
214325,,,,
214328,4;19;3,4;-11;-1,8;14;3,3;17;14
214593,,,,
214596,-6;33;19,18;22;13,10;12;7,8;26;9
214868,,,,
214876,10;18;8,6;23;11,13;23;8,2;22;8
215144,,,,
215147,9;20;4,8;19;8,3;24;2,7;12;7
215412,,,,
215420,10;30;-3,8;25;3,5;30;2,2;21;8
215682,,,,
215685,6;21;3,2;29;7,2;18;9,1;34;11
215957,,,,
215964,0;18;9,1;18;1,9;29;-15,4;20;-6
216232,,,,
216235,8;19;-6,11;37;-3,8;36;-4,8;24;-8
216510,,,,
216513,9;37;1,-2;34;4,1;20;4,2;21;2
216791,,,,
216793,7;26;7,2;18;-3,3;20;0,4;14;-4
217062,,,,
217065,0;14;8,3;15;2,5;19;2,2;11;5
217347,,,,
217349,4;16;-5,3;17;-1,1;16;0,5;12;-3
217615,,,,
217618,2;16;8,1;9;5,3;19;0,5;8;-8
217895,,,,
217899,1;11;-3,6;9;-5,9;7;-9,5;5;0
218172,,,,
218175,6;7;-1,6;8;2,7;9;5,6;3;0
218451,,,,
218455,4;9;-1,10;2;-2,7;3;0,9;0;8
218716,,,,
218719,7;-3;8,5;8;3,10;2;-4,9;8;-2
218985,,,,
218993,17;9;-5,13;6;-8,13;0;-5,10;4;3
219261,,,,
219265,16;3;4,11;0;0,6;6;12,11;5;4
219532,,,,
219540,12;1;1,8;5;11,14;10;3,9;3;5
219811,,,,
219813,13;14;12,10;7;13,10;10;-2,10;17;-7
220086,,,,
220089,17;4;-8,18;3;-11,17;7;0,14;11;-5
220362,,,,
220364,20;5;0,13;0;2,15;13;0,20;12;4
220639,,,,
220642,12;-1;15,22;-2;6,18;1;8,19;0;-2
220920,,,,
220922,20;4;7,25;-1;8,26;1;8,21;4;8
221193,,,,
221196,16;-3;13,16;11;1,21;7;4,20;-1;13
221469,,,,
221472,20;3;16,10;0;4,15;-5;10,15;0;-1
221739,,,,
221742,8;1;10,23;-6;6,24;3;12,16;0;-10
222017,,,,
222020,21;-4;10,11;-7;3,18;0;-6,22;1;-7
222287,,,,
222290,19;6;1,15;5;16,23;6;13,19;0;12
222568,,,,
222571,18;3;1,24;5;4,19;7;14,20;7;9
222839,,,,
222841,20;9;-18,29;-5;4,21;2;6,23;4;3
223112,,,,
223119,34;-7;1,29;-19;8,30;0;0,32;2;10
223389,,,,
223391,19;10;14,28;18;6,28;11;3,26;3;1
223663,,,,
223672,24;0;-1,30;0;4,28;-4;4,22;4;15
223934,,,,
223937,20;2;5,25;4;3,30;9;2,28;5;10
224203,,,,
224230,31;4;10,31;7;7,29;7;5,33;5;11
224497,,,,
224499,26;7;9,27;12;0,31;3;13,34;5;16
224772,,,,
224775,32;0;5,34;0;2,32;12;7,30;15;8
225053,,,,
225056,31;23;14,29;13;2,29;10;3,33;8;8
225329,,,,
225332,29;15;8,29;17;4,31;15;8,27;12;7
225604,,,,
225606,24;14;7,21;15;7,22;16;5,21;13;5
225879,,,,
225882,19;10;4,12;13;2,5;11;0,-1;15;-2
226155,,,,
226157,3;12;-1,0;16;-1,-4;17;1,-2;21;3
226429,,,,
226433,-1;21;-3,-4;23;0,-8;20;-4,-14;23;-5
226710,,,,
226713,-16;30;0,-18;29;0,-12;28;-4,-16;30;-1
226979,,,,
226982,-10;33;-12,-16;28;-7,-12;34;-7,-11;33;-4
227261,,,,
227264,-7;34;-4,-12;36;-1,-14;31;-1,-9;36;-1
227530,,,,
227533,-14;42;4,-13;49;-4,-12;36;-7,-4;38;-14
227809,,,,
227816,-12;38;-10,-11;41;0,-3;42;4,-11;45;3
228091,,,,
228094,-11;47;-6,-9;45;1,-13;40;-1,-13;49;-7
228364,,,,
228372,-5;37;-6,-2;43;-2,-6;49;-1,-3;39;0
228642,,,,
228645,-6;39;-5,-5;35;-7,-5;29;-4,-11;28;-3
228926,,,,
228933,-6;30;-9,-13;30;-5,-10;24;-4,-15;25;-1
229194,,,,
229197,-12;17;-4,-14;15;-3,-12;12;-6,-15;11;-3
229470,,,,
229478,-17;5;-8,-15;6;-6,-17;7;-6,-14;7;-4
229746,,,,
229748,-18;9;-6,-12;0;-21,-19;8;-8,-18;6;-4
230014,,,,
230022,-19;8;-6,-18;5;-4,-14;6;-4,-20;6;-6
230284,,,,
230287,-22;11;-6,-21;5;-4,-23;9;-6,-24;7;-4
230552,,,,
230555,-24;6;-2,-21;5;-3,-24;9;-9,-24;4;-7
230829,,,,
230832,-20;12;-4,-24;7;-4,-23;13;-4,-26;7;-6
231100,,,,
231102,-22;6;-1,-21;8;-5,-22;4;-6,-25;11;-9
231372,,,,
231375,-20;7;-9,-21;8;-1,-18;13;-3,-23;3;-9
231642,,,,
231645,-20;11;-3,-21;3;-5,-19;5;-7,-18;6;-7
231918,,,,
231921,-15;4;-4,-18;4;-12,-15;2;-7,-20;11;-7
232193,,,,
232196,-17;3;-2,-13;3;0,-18;0;-3,-12;4;-1
232468,,,,
232471,-11;5;-3,-14;1;-7,-12;4;-7,-4;-9;-8
232735,,,,
232738,-20;-4;2,-21;0;2,-13;-3;-8,-21;-1;1
233020,,,,
233022,-17;0;-2,-18;-7;-2,-20;0;-6,-20;-2;-1
233287,,,,
233290,-12;1;-9,-17;-8;-5,-15;-4;-1,-20;-7;2
233560,,,,
233563,-17;2;-2,-19;0;-5,-17;0;-8,-18;-1;-5
233831,,,,
233833,-23;-3;3,-19;-15;-5,-13;-6;2,-23;5;-5
234112,,,,
234114,-16;-15;0,-11;1;-10,-9;-5;-10,-13;-11;-16
234382,,,,
234384,-16;-6;-13,-15;-2;-2,-16;0;-11,-13;4;-1
234655,,,,
234657,-22;17;-11,-21;10;-8,-16;7;-2,-22;14;-5
234926,,,,
234929,-6;2;-2,-22;9;-8,-9;9;-20,-14;1;-9
235199,,,,
235208,-4;0;1,-11;1;8,-15;0;-8,-10;11;1
235469,,,,
235472,-14;1;-4,-6;0;-4,-5;-3;4,-7;0;0
235746,,,,
235753,-2;-2;0,-3;-1;-1,-10;2;4,-7;-3;-8
236013,,,,
236016,-10;1;0,-8;-2;0,-10;0;-21,-13;7;-7
236290,,,,
236298,-8;0;-2,-9;2;-11,-7;2;-3,-11;-2;2
236570,,,,
236573,-10;6;-10,-6;1;5,-2;-3;1,-1;-5;-5
236839,,,,
236843,0;-11;0,-9;-11;3,-5;-4;-6,-6;-2;5
237115,,,,
237118,-5;-11;-3,-2;-1;3,-14;-7;3,-4;-3;2
237390,,,,
237393,-1;-3;-1,-8;-5;9,-3;-5;-11,-6;2;2
237665,,,,
237668,-11;0;-2,-4;-4;3,-2;-1;-6,-3;-3;1
237940,,,,
237943,0;-3;-9,-2;-3;4,2;-8;2,-1;-9;-8
238218,,,,
238221,-2;0;7,-10;3;10,-4;-17;7,-2;-7;0
238491,,,,
238494,-2;-5;8,-1;-6;0,-8;0;5,-7;-5;5
238768,,,,
238770,-3;-2;6,-6;-3;5,-2;-1;1,-2;-5;0
239042,,,,
239045,-1;-7;-8,-5;-8;5,-4;-5;0,-4;-8;-4
239323,,,,
239326,-7;-5;9,-5;-12;-6,-5;-11;1,-6;-10;2
239592,,,,
239595,-3;-13;-2,-1;-6;-2,2;-13;0,-4;-12;6
239874,,,,
239877,-4;-8;-15,-9;-14;3,0;-14;-2,2;-12;-2
240143,,,,
240146,-5;0;6,-4;-20;0,-10;-9;9,6;-11;-6
240418,,,,
240425,-2;-15;-8,-8;1;-6,-8;-6;1,-2;-9;0
240693,,,,
240696,-2;-10;-1,-8;-9;10,-9;0;-2,-12;6;1
240969,,,,
240977,-11;-7;4,-7;-11;6,-2;0;0,-9;-6;-5
241245,,,,
241247,-4;1;8,-10;2;3,-10;4;0,-8;6;4
241513,,,,
241521,0;4;-4,-5;5;-5,-5;5;-11,-1;2;0
241782,,,,
241785,0;-5;0,-4;-6;-6,1;3;-6,-5;6;0
242051,,,,
242054,0;0;3,-5;3;6,-6;3;7,-5;-1;10
242361,,,,
242364,-13;2;6,1;3;-9,-8;2;-3,-6;2;0
242633,,,,
242636,-3;15;1,-7;2;11,-8;10;9,-8;17;-1
242908,,,,
242911,0;-3;-9,-5;1;0,-1;13;0,-3;-2;-1
243180,,,,
243183,0;1;6,4;2;0,-2;-2;-3,0;5;-3
243452,,,,
243454,-8;5;2,-1;1;0,-4;2;0,-2;2;-5
243728,,,,
243731,-3;-2;-2,2;4;-1,-1;3;0,0;-4;1
244002,,,,
244005,-3;9;4,2;-2;-5,5;0;3,3;0;-4
244272,,,,
244275,3;9;0,-4;0;3,-1;5;-2,0;4;-1
244553,,,,
244555,-1;2;0,2;-4;1,-1;1;1,1;11;1
244829,,,,
244832,-1;9;4,0;0;-6,-6;6;4,0;10;-3
245098,,,,
245105,1;0;-9,-1;-1;-11,-7;4;2,1;2;3
245367,,,,
245369,0;11;2,2;7;2,-2;3;4,0;12;1
245638,,,,
245687,5;8;-5,2;4;0,0;6;-2,0;1;7
245955,,,,
245958,1;4;-10,1;0;-7,0;5;3,-4;6;8
246238,,,,
246241,2;8;-1,0;5;0,0;7;5,3;0;5
246512,,,,
246515,3;2;2,3;7;-2,5;12;-5,-5;0;5
246787,,,,
246790,-1;-4;1,6;7;-3,-2;-3;2,-11;6;-1
247062,,,,
247065,-2;2;8,-1;-11;9,0;-2;5,0;-2;6
247337,,,,
247341,13;7;-7,11;3;-8,12;5;-8,14;3;6
247613,,,,
247616,11;0;9,19;4;4,13;9;8,18;7;10
247888,,,,
247890,18;7;3,15;3;7,12;5;8,16;13;8
248169,,,,
248171,15;3;8,14;0;3,16;2;7,19;1;-3
248445,,,,
